Year,10th Percentile,20th Percentile,30th Percentile,40th Percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,Household Ratio 90/10,Household Ratio 90/50,Household Ratio 50/10
,10th percentile,20th percentile,30th percentile,40th percentile,"50th percentile
(median)",60th percentile,70th percentile,80th percentile,90th percentile,95th percentile,90th/10th,90th/50th,50th/10th
2023,18980,33000,47910,62200,80610,101000,127300,165300,234900,316100,12.38,2.91,4.25
2022,17780,31190,45680,60330,77540,97730,123400,159100,224500,306700,12.63,2.9,4.36
2021,17540,31360,45380,61590,79260,100500,126800,167000,237400,320600,13.53,2.99,4.52
2020 1,18310,31900,46680,61520,79560,100100,126900,166100,236300,321700,12.9,2.97,4.34
2019,18940,33200,47760,63240,81210,102200,129700,168400,237800,319200,12.55,2.93,4.29
2018,17550,30710,44390,59980,75790,95420,120200,155900,221100,298400,12.6,2.92,4.32
2017 2,17500,30380,42910,57780,74810,94420,119900,154900,222400,298700,12.71,2.97,4.27
2017,17400,30150,42850,57650,75100,94900,119700,155200,219100,290100,12.59,2.92,4.32
2016,16950,29890,43230,56780,73520,93230,117200,150700,212400,280500,12.53,2.89,4.34
2015,16660,28640,40520,54660,71000,90450,113900,147000,203700,269400,12.23,2.87,4.26
2014,15410,26900,38560,51700,67360,85630,108600,140900,197700,259300,12.83,2.93,4.37
2013 3,15530,26740,38780,52250,68220,85560,108300,140300,197900,261200,12.74,2.9,4.39
2013 4,15790,26610,38270,51170,66130,83400,104400,134800,191000,249500,12.1,2.89,4.19
2012,15770,26540,38400,51240,65740,83220,103900,134100,188100,246300,11.93,2.86,4.17
2011,15760,26610,38450,50600,65750,82010,103800,133400,188600,244300,11.97,2.87,4.17
2010 5,16060,27090,38500,51460,66730,83290,105600,135500,187900,244400,11.7,2.82,4.15
2009 6,16640,28080,40030,52920,68340,84850,106600,137300,189000,247100,11.36,2.76,4.11
2008,16630,28320,40550,53330,68780,85770,107900,137100,189100,246100,11.37,2.75,4.14
2007,17240,28760,41960,55420,71210,87890,110600,141800,192800,250900,11.18,2.71,4.13
2006,17450,29130,42040,54920,70080,87230,109200,141100,193400,253000,11.08,2.76,4.02
2005,16890,28690,40570,53860,69310,86260,107700,137200,188600,248300,11.17,2.72,4.1
2004 7,16790,28460,40020,53380,68250,85020,106700,135500,186100,241900,11.08,2.73,4.07
2003,16620,28380,40130,53650,68350,85920,107700,137100,186500,243200,11.22,2.73,4.11
2002,17110,28860,40490,53760,68310,85630,107200,135300,183800,241600,10.75,2.69,3.99
2001,17430,29310,41150,54330,68870,86440,107700,136200,185300,245400,10.63,2.69,3.95
2000 8,17650,29880,41940,55030,70020,87010,108400,136400,186800,242200,10.58,2.67,3.97
1999 9,17850,29560,42020,55070,70210,86920,108000,136700,185900,245000,10.42,2.65,3.93
1998,17080,28380,41050,53540,68470,85120,105500,132100,178400,232800,10.44,2.61,4.01
1997,16450,27490,39270,52120,66050,82100,101600,127600,174300,225900,10.6,2.64,4.02
1996,16240,26920,38290,50610,64710,80230,99330,124000,167800,217900,10.33,2.59,3.98
1995 10,16240,26950,37690,50360,63770,78600,97050,121900,164100,211500,10.11,2.57,3.93
1994 11,15380,25720,36640,48270,61800,76810,95820,120400,162600,210400,10.57,2.63,4.02
1993 12,15040,25380,36400,48310,61150,75930,94450,118000,160000,204800,10.64,2.62,4.06
1992 13,15040,25270,36210,48420,61450,76020,93540,116400,155600,198600,10.34,2.53,4.08
1991,15270,25900,37190,49360,61960,76250,93400,116700,156100,198300,10.22,2.52,4.06
1990,15600,26640,38370,50440,63830,77160,95030,117700,158000,202000,10.12,2.47,4.09
1989,16090,27040,38700,51410,64610,79010,96700,120100,160800,205100,9.99,2.49,4.01
1988,15320,26560,37800,50170,63530,78180,95010,118100,156300,199800,10.21,2.46,4.15
1987 14,15090,26130,37590,49600,63060,77430,94490,117000,154400,195800,10.23,2.45,4.18
1986,14960,25630,37300,49030,62280,76090,92800,115000,151000,192900,10.09,2.42,4.16
1985 15,14990,25280,36000,47560,60050,73670,89500,110800,145300,183100,9.69,2.42,4.01
1984 16,14980,24980,35490,46740,58930,72020,87980,108800,143100,180100,9.55,2.43,3.93
1983,14400,24510,34500,45580,57210,69950,85320,105700,138400,173900,9.61,2.4,4
1982,14440,23970,34320,45600,57570,69670,84740,103900,137000,171500,9.48,2.38,3.99
1981,14710,24290,34520,45400,57730,70220,84990,103800,135600,167100,9.22,2.35,3.92
1980,14920,24800,35300,46500,58720,71290,85690,104400,135600,168000,9.09,2.31,3.94
1979 17,15110,25770,36820,47860,60610,73640,88360,106800,138200,172500,9.14,2.28,4.01
1978,15390,25470,36300,48150,60720,72860,87690,106000,137000,169500,8.9,2.26,3.95
1977,15080,24690,35190,46510,58450,70890,85400,103400,131800,163600,8.74,2.25,3.89
1976 18,14920,24780,35390,46170,58160,70330,83690,101200,129800,160500,8.7,2.23,3.9
1975 19,14830,24230,34610,45480,57180,68720,82220,98670,126500,155700,8.53,2.22,3.84
"1974 19, 20",15260,25520,36290,47330,58780,69940,84000,101500,130900,160700,8.58,2.23,3.85
1973,15140,25350,36740,48750,60610,72130,86490,103900,134100,166900,8.86,2.2,4.02
1972 21,14430,24780,36100,47730,59330,70540,83910,101000,129700,162500,8.99,2.19,4.11
1971 22,13580,24030,34780,45810,57090,67410,79710,96120,123300,152600,9.08,2.16,4.21
1970,13360,24320,35510,46580,57580,67750,79930,96660,123100,152800,9.22,2.13,4.32
1969,13660,24720,35960,47430,58010,68600,80210,96110,122000,150700,8.93,2.1,4.25
1968,13290,23950,35320,45410,55810,65080,76400,91450,115300,143100,8.68,2.07,4.2
1967 23,12210,22480,33590,43840,53530,62220,74720,88720,112700,142400,9.23,2.11,4.38
